2025-08-26 22:36:19.280 | INFO     | nexus_attempt.core:load_and_process_books:33 - Loading and processing book data from: data.json...
2025-08-26 22:36:19.281 | SUCCESS  | nexus_attempt.core:load_and_process_books:55 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:36:39.668 | INFO     | nexus_attempt.core:load_and_process_books:33 - Loading and processing book data from: data.json...
2025-08-26 22:36:39.670 | SUCCESS  | nexus_attempt.core:load_and_process_books:55 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:36:45.238 | INFO     | nexus_attempt.core:load_and_process_books:33 - Loading and processing book data from: data.json...
2025-08-26 22:36:45.240 | SUCCESS  | nexus_attempt.core:load_and_process_books:55 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:36:48.566 | INFO     | nexus_attempt.core:load_and_process_books:33 - Loading and processing book data from: data.json...
2025-08-26 22:36:48.568 | SUCCESS  | nexus_attempt.core:load_and_process_books:55 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:36:53.495 | INFO     | nexus_attempt.core:load_and_process_books:33 - Loading and processing book data from: data.json...
2025-08-26 22:36:53.497 | SUCCESS  | nexus_attempt.core:load_and_process_books:55 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:47:46.516 | INFO     | nexus_attempt.core:load_and_process_books:26 - Loading and processing book data from: data.json...
2025-08-26 22:47:46.518 | SUCCESS  | nexus_attempt.core:load_and_process_books:47 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:47:59.304 | INFO     | nexus_attempt.core:load_and_process_books:26 - Loading and processing book data from: data.json...
2025-08-26 22:47:59.305 | SUCCESS  | nexus_attempt.core:load_and_process_books:47 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:50:07.134 | INFO     | nexus_attempt.core:load_and_process_books:26 - Loading and processing book data from: data.json...
2025-08-26 22:50:07.135 | SUCCESS  | nexus_attempt.core:load_and_process_books:47 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:50:08.678 | INFO     | nexus_attempt.core:load_and_process_books:26 - Loading and processing book data from: data.json...
2025-08-26 22:50:08.680 | SUCCESS  | nexus_attempt.core:load_and_process_books:47 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:50:10.548 | INFO     | nexus_attempt.core:load_and_process_books:26 - Loading and processing book data from: data.json...
2025-08-26 22:50:10.549 | SUCCESS  | nexus_attempt.core:load_and_process_books:47 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:50:13.125 | INFO     | nexus_attempt.core:load_and_process_books:26 - Loading and processing book data from: data.json...
2025-08-26 22:50:13.126 | SUCCESS  | nexus_attempt.core:load_and_process_books:47 - Successfully loaded and validated 449 books into memory.
2025-08-26 22:50:23.973 | INFO     | nexus_attempt.core:load_and_process_books:26 - Loading and processing book data from: data.json...
2025-08-26 22:50:23.974 | SUCCESS  | nexus_attempt.core:load_and_process_books:47 - Successfully loaded and validated 449 books into memory.
2025-08-26 23:44:28.056 | INFO     | nexus_attempt.core:load_and_process_books:26 - Loading and processing book data from: data.json...
2025-08-26 23:44:28.058 | SUCCESS  | nexus_attempt.core:load_and_process_books:47 - Successfully loaded and validated 449 books into memory.
